"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Australia","AUS","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","10721245380.2217","11403292641.9532","11753835815.8808","12556837271.811","13637585395.901","14785530294.5459","15750923955.6501","17033262403.4046","18553029454.5862","20191510807.4812","22344047485.7207","24602979057.0053","28394859813.0841","34717488789.2377","47566691230.6559","54346579270.7907","58576830959.284","62541867400.78","68515677870.5166","76389867090.7645","83823955431.7549","99014280738.4187","108744345139.579","104656995788.489","109865060677.414","99611106849.7354","102623810856.184","107455002646.903","130532596041.909","163057568601.905","171445940746.441","186051330350.836","191454279781.589","181424255199.55","185848495330.336","212604692604.693","230764795144.158","248515417123.18","229660855999.457","226273342524.126","241097155058.72","221920682623.162","228780870657.179","272868375072.801","355530658699.673","399544429409.111","423251722072.477","483953835283.034","596982094897.046","508443528199.087","643893244076.456","764188110026.619","842959373066.612","875725864368.524","821564307353.346","773338880106.498","704665890231.475","752261859868.768",
"Austria","AUT","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","8482339984.12278","9889050666.37295","12074445919.4","16009431794.2231","19001290194.3463","22715303705.4594","24563576052.7729","29926573391.0582","34856337439.5906","41267965002.5733","46366404488.4067","40849464143.7705","41120159312.737","42493480082.7333","39307519634.138","40055489957.4355","56376189815.2321","70543779494.9935","75073413574.0555","74514275611.0244","93081889386.4214","96315013906.8945","109465926746.807","106682437241.216","113375429345.862","132422792411.628","131693332466.857","116528943511.106","118524021787.461","116480790539.101","106009563294.638","106781807606.264","114242264257.482","141533916478.555","162072895455.674","170024972018.406","178802471459.039","202180728168.629","223001201113.227","214018407891.081","209670112465.213","230130897313.146","218877965450.002","230787175127.672","236028944201.995","201101400544.987","205993156949.788","217148895657.236",
"Azerbaijan","AZE","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4658610268.54773","4463639304.62425","3186424450.3027","2608587575.79541","2570764508.0855","2460697525.79324","2627853522.43664","2950546800.50188","3557216483.06345","3471840135.91683","3696668671.70132","3777067110.49071","4154106768.1547","4532535939.72714","5028375699.60313","5554898561.45547","7305359189.61271","10903232024.2396","16334104186.9523","18937546653.3964","20823844524.729","24572622514.8791","27245290224.0326","30763161249.2033","34810149177.6106","30087936755.8071","21883186062.5431","23474552637.6946",
"Burundi","BDI","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","180250010","187249992","197750006","224000000","227499992","142260148.148148","146169142.857143","155061714.285714","159533714.285714","163313142.857143","210278857.142857","221347428.571429","215300571.428571","259973008.772149","307786666.666667","385624126.984127","381737971.014493","423510000","492374444.444444","632213333.333333","840438888.888889","841312222.222222","927898877.777778","915723507.261969","847544891.821903","1012753291.07631","1070843316.98345","946915446.74652","948411678.478578","964107378.976095","1070392105.33999","1090462265.51266","983960120.593558","804853828.665568","867881658.968666","889763173.551998","710268981.337737","795186604.22875","782295119.457538","681560082.333736","803266672.818349","794413799.361715","772739059.458767","700565823.742403","806307454.651152","937126992.229496","1245694858.1663","1021730595.37576","1154174745.89497","1465338827.87158","1381704904.48778","1713238339.43673","1877444657.3379","2063407148.05849","2379343054.60828","2631894043.75222","2626173253.95866","",
"Belgium","BEL","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","13864114481.6458","15612660060.8503","19465940427.0919","25166115400.5382","29188126035.6255","35060564440.057","37837790491.1181","44819882836.2409","54518004483.1561","63972599064.3919","70444431093.944","59839663407.2143","53371200776.9733","50985393451.6765","47813688215.5822","50157629322.6442","68737360754.9214","85064310534.846","90277798902.9073","90354243755.1188","112934968372.767","117061623508.565","129028799749.059","122414656483.209","132537097419.822","155150519978.106","151930814332.248","135871898962.562","139205156701.489","136531429789.048","125394140409.066","125539955257.271","134385751929.23","164560270880.361","188290290538.863","196071632881.482","206936018065.487","236608404051.465","265698403398.272","252216865796.054","251233915941.145","272562407817.668","258491396607.643","271369990469.619","274486616933.03","232779918937.359","239564031644.456","252479886321.249",
"Benin","BEN","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","190937435.536028","198226228.399972","201768680.470781","219789186.356505","239474892.583354","260953653.969279","279732846.680864","278874506.963186","288382045.178493","291279003.048924","293438624.24119","300607261.858718","364819987.969572","440065976.72745","489943538.701155","611426460.096429","648069323.981327","694115329.837996","869772488.111323","1096768612.59035","1373020882.75442","1332352452.32886","1067737872.34146","942758592.999638","892862526.881954","927419160.269152","1165306174.39668","1362575341.57237","1449406983.82599","1328149040.94972","1484237511.05541","1562930999.20633","1371316733.16261","1800090683.23288","1187550237.59705","1588055214.84192","1710791998.63005","1646821637.89981","1820133842.62918","2103300134.75738","2005965648.01385","2103573004.69211","2373784807.26073","2947864961.52875","3327939777.93796","3684583010.80198","3928358941.96505","4434273352.54601","5351209554.68816","5194348078.29029","5118549821.61498","5649060188.89681","5809877673.48687","6302323698.48595","6648261076.22139","5686706980.05493","6318447650.86382","6844370518.08466",
"Burkina Faso","BFA","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","5712974312000","305060656.829219","330070056.870266","342602122.797544","350033161.229921","364714416.294072","379028615.865294","405694228.354449","404637969.24116","422157533.93304","396303235.021604","410328769.18786","478866891.165888","540062270.878208","556054641.664513","736701854.62471","757285314.023329","959759117.159097","1239352360.54203","1502627324.63464","1739937614.39231","1616919000.15972","1465127960.15413","1312443418.72537","1204433597.29548","1255173762.84576","1646385396.26382","1838046276.90813","2022812273.83614","1944658496.23928","2280042232.43043","2193416755.84681","1560234522.1886","1653922838.35264","1091590891.35789","1507242237.77939","1751580672.674","1582817619.66922","1931222102.41957","2350425808.06452","1964361851.3324","2089932658.38015","2365704326.12776","3033720044.53542","3485400299.23253","3943121868.41252","4182626521.32829","4619803545.70848","5825186933.96146","5734358606.83773","5643207740.31502","6393061506.21967","6514911745.13557","7301595012.54959","7500660376.40444","6535034690.19756","6667012672.56786","7268193243.37874",
"Bangladesh","BGD","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","3686015436.89101","4183359833.7986","4154454022.447","4514922487.29256","4511238654.10558","","","","","","","","","","","","","","","","","16355630354.9572","14966067864.2715","14728577441.0774","16816520000","18146884615.3846","17547166666.6667","19865677419.3548","21809646902.6096","23187353127.1521","25291457793.5491","25165490196.0784","25901193633.9523","27444259259.2593","27694688279.3017","31202910447.7612","36617726161.3692","37609812646.37","38107533039.6476","39084920965.0582","40031663685.1521","40235841363.9733","40571565383.9457","44930345423.1433","47944436894.8531","51223934959.3496","52516489913.6391","58827739926.1512","69302853400.379","76421625534.8651","85438685148.0054","95552865018.6883","98332388771.2159","109264704757.592","125467360606.275","141309707202.251","153063793792.988","171497636501.517",
"Bulgaria","BGR","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","","","","","","","","","","","10978000000","9669000000","9631066666.66667","8434500000","8759000000","8858052631.57895","10248588235.2941","14629461538.4615","11185294117.6471","11454666666.6667","12345000000","5921451612.90323","6791494845.36082","7958768115.94203","7179520295.20295","8561428571.42857","7475340078.6959","7464520482.78732","8750352192.68348","8874817978.99548","8696447510.94994","9611249141.75859","11060933076.5527","14201585964.1023","17672169386.0707","20304802744.4254","22735174116.5908","30433058782.3653","35713730182.4708","32667519727.0207","32291715175.308","35774758620.6896","35263503285.1511","34616691775.2443","35538875322.2087","31390851280.8887","32415893665.1584","34989858830.3083",
"Bahrain","BHR","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","","","","","","","","","","","982489254.44415","1137500000","1257712234.04255","1280851063.82979","1335638563.82979","1082446808.51064","984574734.042553","1193882978.7234","1391755319.14894","1537500265.95745","1624468085.10638","2707180851.06383","2807180851.06383","2926595744.68085","2902925531.91489","3101861702.12766","3273404255.31915","3396808510.6383","3530585106.38298","3665957446.80851","3665957446.80851","4047845212.76596","4203993882.97872","4326648404.25532","4752600797.87234","6255351329.78723","6426170212.76596","6869521276.59575","8866755319.14894","9384042553.19149","10589627659.5745","11245611702.1277","11686276595.7447","13266489361.7021","13521276595.7447","14023936170.2128","14490851063.8298","",
"Bahamas, The","BHS","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","","","","","","","","396800000","483500000","751000000","823900000","888900000","932200000","994300000","1335600000","1458599900","1570700000","1727700000","","1914520000","1989060000","2051090000","2008330000","2061840000","2131060000","2333910000","2513240000","3758600000","4136400000","4457700000","4627100000","5035700000","5040100000","5136400000","5295900000","5845600000","6256100000","6415100000","6447700000","6048200000","6227300000","6341300000","6814600000","6721700000","7130900000","7720800000","7623100000","8272800000",
"Bosnia and Herzegovina","BIH","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10501292681.376","11586160605.4775","13521301609.5171","16273218993.4092","14864784430.7124","14419890295.9301","15566856208.6858","14672344632.7684","15287922747.9465","15486176909.5102","13131044513.7511","13312869747.1862","13787409761.4383",
